    364.0  -9600
    365.0  -9600 
    366.0  -9600 
    367.0  -9600 
    368.0  -9600 
    369.0  -9600 
    370.0  -9600 
    371.0  -9600 
    372.0  -9600 
    373.0  -9600 
    374.0  -9600 
    375.0  -9600 
    376.0  -9600 
    377.0  -9600 
    378.0  -9600 
    379.0  -9600 
    380.0  -0
    381.0  -0
    382.0  -0
    383.0  -0
    384.0  -0
    385.0  -0
    386.0  -0
    387.0  -0
    388.0  -0
    389.0  -0
    390.0  -0
    391.0  -0
    392.0  -0
    393.0  -0
    394.0  -0
    395.0  -0
    396.0  -0
    397.0  -0
    398.0  -0
    399.0  -0
    400.0  -0
    401.0  -0
    402.0  -0
    403.0  -0
    404.0  -0
    405.0  -0
    406.0  -0
    407.0  -0
    408.0  -0
    409.0  -0
    410.0  -0
    411.0  -0
    412.0  -0
    413.0  -0
    414.0  -0
    415.0  -0
    416.0  -0
    417.0  -0
    418.0  -0
    419.0  -0
    420.0  -0
    421.0  -0
    422.0  -0
    423.0  -0
    424.0  -0
    425.0  -0
    426.0  -0
    427.0  -0
    428.0  -0
    429.0  -0
    430.0  -9600 
    431.0  -9600 
    432.0  -9600 
    433.0  -9600 
    434.0  -9600 
    435.0  -9600 
    436.0  -9600 
    437.0  -9600 
    438.0  -9600 
    439.0  -9600 
    440.0  -9600 
    441.0  -9600 
    442.0  -9600 
    443.0  -9600 
    444.0  -9600 
    445.0  -9600 
    446.0  -9600 
    447.0  -9600 
    448.0  -9600 
    449.0  -9600 
    450.0  -9600 
    451.0  -9600 
    452.0  -9600 
    453.0  -9600 
    454.0  -9600 
    455.0  -9600 
    456.0  -9600 
    457.0  -9600 
    458.0  -9600 
    459.0  -9600 
